"show_id","type","title","director","cast","country","date_added","release_year","rating","duration","listed_in","description","gender","Race","votes","IMDB","tomato","gender_num","race_num","type_num"
81037273,"Movie","14 Minutes from Earth","Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm","","United States",2019,2016,"TV-14","84 min","Documentaries","A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.","Male","White",114,5.4,NA,0,0,1
70242311,"TV Show","Orange Is the New Black","","Taylor Schilling, Kate Mulgrew, Laura Prepon, Jason Biggs, Natasha Lyonne, Michael Harney, Uzo Aduba, Danielle Brooks, Samira Wiley, Dascha Polanco, Selenis Leyva, Nick Sandow, Yael Stone, Taryn Manning, Lea DeLaria, Matt McGorry, Emma Myles, Vicky Jeudy, Laverne Cox, Pablo Schreiber, Lori Petty, Ruby Rose, Adrienne C. Moore, Jackie Cruz, Elizabeth Rodriguez","United States",2019,2019,"TV-MA","7 Seasons","TV Comedies, TV Dramas","A privileged New Yorker ends up in a women's prison when a past crime catches up with her in this Emmy-winning series from the creator of ""Weeds.""","Female","White",270696,8.1,90,1,0,2
81026188,"Movie","The Knight Before Christmas","Monika Mitchell","Vanessa Hudgens, Josh Whitehouse, Emmanuelle Chriqui, Harry Jarvis, Mimi Gianopulos, Ella Kenion, Jean-Michel Le Gal, Arnold Pinnock","United States",2019,2019,"TV-14","93 min","Children & Family Movies, Comedies, Romantic Movies","Medieval magic sends a 14th-century knight to modern-day Ohio, where he falls for a high school science teacher who's disillusioned by love.","Female","White",11567,5.5,75,1,0,1
60001650,"Movie","Men in Black","Barry Sonnenfeld","Tommy Lee Jones, Will Smith, Linda Fiorentino, Vincent D'Onofrio, Rip Torn, Tony Shalhoub, Siobhan Fallon Hogan, Mike Nussbaum, Jon Gries, Sergio Calderón","United States",2019,1997,"PG-13","98 min","Action & Adventure, Comedies, Sci-Fi & Fantasy","A streetwise cop teams with a veteran government agent to work for a super-secret, extremely dapper team that monitors extraterrestrials on Earth.","Male","White",498905,7.3,92,0,0,1
81026478,"TV Show","Minute to Win It","","Apolo Anton Ohno","United States",2018,2013,"TV-PG","1 Season","Reality TV","In this game show hosted by Olympian Apolo Anton Ohno, contestants compete by completing 60-second challenges using common household items.","","",1002,5.1,NA,3,6,2
81080637,"Movie","Knock Down The House","Rachel Lears","Alexandria Ocasio-Cortez","United States",2019,2019,"PG","88 min","Documentaries","Go behind the scenes as four determined women – including Alexandria Ocasio-Cortez – challenge big-money politicians in the 2018 race for Congress.","Female","White",9291,6.9,100,1,0,1
80179373,"Movie","The Clapper","Dito Montiel","Ed Helms, Amanda Seyfried, Tracy Morgan, Brenda Vaccaro, P.J. Byrne, Leah Remini, Mickey Gooch Jr., Adam Levine, Russell Peters, Alan Thicke","United States",2018,2017,"R","90 min","Comedies, Dramas, Independent Movies","A newcomer ekes out a living in LA as a professional audience member on infomercials, but life gets complicated when he's thrust into the spotlight.","Male","White",5623,5.1,23,0,0,1
70125581,"Movie","Paranormal Activity","Oren Peli","Katie Featherston, Randy McDowell, Amber Armstrong, Mark Fredrichs, Micah Sloat, Ashley Palmer, James Piper","United States",2020,2007,"R","86 min","Horror Movies, Thrillers","When Katie and Micah fear their home may be haunted by a demonic presence, Micah sets up a video camera to document all the action.","Male","White",214309,6.3,83,0,0,1
60011729,"Movie","Mutiny on the Bounty","Lewis Milestone, Carol Reed","Marlon Brando, Trevor Howard, Richard Harris, Hugh Griffith, Richard Haydn, Tarita","United States",2019,1962,"TV-PG","185 min","Action & Adventure, Classic Movies, Dramas","Marlon Brando gives a nuanced performance as the aristocratic Lt. Fletcher Christian, an officer aboard the HMS Bounty who leads a mutiny against the ship's tyrannical Capt. Bligh.","Male & Female","White",14399,7.3,68,3,0,1
81055402,"Movie","The Long Goodbye: The Kara Tippetts Story","Jay Lyons","","United States",2019,2019,"TV-PG","87 min","Documentaries, Faith & Spirituality","Faced with terminal breast cancer, a courageous wife and mother turns her suffering into a resilient message of faith, love and compassion.","Male","White",24050,8,NA,0,0,1
81121186,"Movie","NOVA: Prediction by the Numbers","Daniel McCabe","Jay O. Sanders","United States",2019,2018,"TV-G","53 min","Documentaries","With the science of forecasting flourishing, this documentary explores how predictions inform our lives and statistics and algorithms' reliability.","Male","White",2166,7,NA,0,0,1
70011206,"Movie","National Treasure","Jon Turteltaub","Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean, Jon Voight, Harvey Keitel, Christopher Plummer","United States",2018,2004,"PG","131 min","Action & Adventure, Children & Family Movies","Modern treasure hunters search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin.","Male","White",294989,6.8,46,0,0,1
352989,"Movie","Carrie","Brian De Palma","Sissy Spacek, Piper Laurie, Amy Irving, William Katt, John Travolta, Nancy Allen, Betty Buckley, P.J. Soles, Priscilla Pointer, Sydney Lassick, Stefan Gierasch, Michael Talbott, Doug Cox, Harry Gold, Noelle North","United States",2019,1976,"R","98 min","Classic Movies, Cult Movies, Horror Movies","An outcast teen with telekinetic ability lashes out with her deadly power when the high school ""in crowd"" torments her with a sick joke at the prom.","Male","White",160621,7.4,92,0,0,1
60021377,"Movie","Tremors 3: Back to Perfection","Brent Maddock","Michael Gross, Shawn Christian, Susan Chuang, Charlotte Stewart, Ariana Richards, Tony Genaro, Barry Livingston, John Pappas, Jason Hopkins","United States",2020,2001,"PG","104 min","Comedies, Horror Movies, Sci-Fi & Fantasy","When a theme park's simulated giant worm attacks turn real, Burt Gummer and two young entrepreneurs team up to battle the flesh-eating graboids.","Male","White",15475,5.3,67,0,0,1
80178943,"TV Show","The Boss Baby: Back in Business","","JP Karliak, Pierce Gagnon, Kevin Michael Richardson, Alex Cazares, Flula Borg, Jake Green, Eric Bell Jr., David Lodge, Hope Levy, David Collins, Tony Hale, Nicole Sullivan","United States",2018,2018,"TV-Y7","2 Seasons","Kids' TV, TV Comedies","The Boss Baby brings his big brother Tim to the office to teach him the art of business in this animated series sprung from the hit film.","","",1831,6.3,NA,3,6,2
70230138,"Movie","Donald Glover: Weirdo","Shannon Hartman, Michelle Caputo","Donald Glover","United States",2016,2012,"NR","65 min","Stand-Up Comedy","Fearlessly funny stand-up comic and sitcom star Donald Glover puts on a live show in New York, confessing his love for Cocoa Puffs and Toys ""R"" Us.","Female","White",2534,7.5,NA,1,0,1
81026453,"TV Show","Emogenius","","Hunter March","United States",2018,2017,"TV-PG","1 Season","Reality TV","Two pairs of contestants go head-to-head for several rounds, deciphering puzzles and messages comprised of emojis for a chance at a $10,000 prize.","","",52,3.8,NA,3,6,2
70056433,"Movie","Mr. Woodcock","Craig Gillespie","Billy Bob Thornton, Seann William Scott, Ethan Suplee, Melissa Sagemiller, Susan Sarandon, Melissa Leo, Bill Macy, Kurt Fuller, Amy Poehler","United States",2019,2007,"PG-13","88 min","Comedies","When a self-help author learns that his mother has fallen for his sadistic high school gym teacher, he tries to put a stop to their budding romance.","Male","White",34491,5.1,13,0,0,1
81173792,"Movie","Betty White: First Lady of Television","Steve Boettcher","Betty White, Valerie Bertinelli, Georgia Engel, Tina Fey, Valerie Harper, Jennifer Love Hewitt, Carl Reiner, Ryan Reynolds, Alex Trebek","United States",2020,2018,"TV-14","56 min","Documentaries","This documentary on actress and television producer Betty White traces her decades-long career as a  woman breaking new ground in entertainment.","Male","White",330,7.8,NA,0,0,1
70060000,"Movie","The Brave One","Neil Jordan","Jodie Foster, Terrence Howard, Naveen Andrews, Carmen Ejogo, Nicky Katt, Mary Steenburgen, Lenny Venito, Zoë Kravitz, Jane Adams, Gordon MacDonald","United States",2019,2007,"R","122 min","Dramas, Thrillers","New York City radio host Erica Bain decides to take the law into her own hands after losing her fiancé in a brutal Central Park attack.","Male","White",57073,6.7,43,0,0,1
80217040,"Movie","National Parks Adventure","Greg MacGillivray","Robert Redford","United States",2018,2016,"TV-G","42 min","Documentaries","Narrated by Robert Redford, this documentary tours the awe-inspiring landscapes, historic sites and untamed wilderness of America's great parks.","Male","White",134,7,100,0,0,1
80167628,"Movie","The Lovers","Azazel Jacobs","Aidan Gillen, Melora Walters, Tyler Ross, Jessica Sula, Lesley Fera, Tracy Letts, Debra Winger","United States",2019,2017,"R","98 min","Comedies, Dramas, Independent Movies","On the verge of divorce, a middle-aged couple, each involved in a serious affair, rethink their marriage and the meaning of love and fidelity.","Male","White",2975,6,84,0,0,1
80207124,"TV Show","7 Days Out","","","United States",2018,2018,"TV-PG","1 Season","Docuseries","Witness the excitement and drama behind the scenes in the seven days leading up to major live events in the worlds of sports, fashion, space and food.","","",397,6.8,NA,3,6,2
80114855,"TV Show","MINDHUNTER","","Jonathan Groff, Holt McCallany, Anna Torv, Cotter Smith, Hannah Gross","United States",2019,2019,"TV-MA","2 Seasons","Crime TV Shows, TV Dramas, TV Mysteries","In the late 1970s two FBI agents expand criminal science by delving into the psychology of murder and getting uneasily close to all-too-real monsters.","","",184432,8.6,96,3,6,2
80093198,"Movie","Tallulah","Sian Heder","Ellen Page, Allison Janney, Tammy Blanchard, Evan Jonigkeit, Uzo Aduba, John Benjamin Hickey, David Zayas, Zachary Quinto, Fredric Lehne","United States",2016,2016,"TV-MA","112 min","Dramas, Independent Movies","While searching for her ex-boyfriend, a young drifter impulsively kidnaps a baby from a neglectful mother and pretends the child is her own.","Female","White",16594,6.7,84,1,0,1
70267838,"Movie","20 Feet From Stardom","Morgan Neville","Darlene Love, Merry Clayton, Lisa Fischer, Táta Vega, Claudia Lennear, Judith Hill, Bruce Springsteen, Mick Jagger, Stevie Wonder, Sting, Bette Midler, Cissy Houston, Sheryl Crow, Tata Vega","United States",2018,2013,"PG-13","91 min","Documentaries, Music & Musicals","Winner of the 2014 Academy Award for Best Documentary Feature, this film takes a look at the world of backup vocalists and the legends they support.","Female","White",11854,7.4,99,1,0,1
80015210,"Movie","Ralphie May: Imperfectly Yours","Anthony Pierce","Ralphie May","United States",2015,2015,"NR","69 min","Stand-Up Comedy","Comedian Ralphie May takes to the Las Vegas stage with his raw, rollicking take on men's fashion, racism, sex and even waffles. Filmed live in 2013.","Male","White",120,5.6,NA,0,0,1
80201490,"Movie","Dumplin'","Anne Fletcher","Danielle Macdonald, Jennifer Aniston, Odeya Rush, Maddie Baillio, Bex Taylor-Klaus, Luke Benward, Georgie Flores, Dove Cameron, Harold Perrineau, Kathy Najimy, Ginger Minj, Hilliary Begley","United States",2018,2018,"PG-13","110 min","Comedies, Dramas, Independent Movies","To prove a point about measuring up and fitting in, Texas teen Willowdean Dickson enters a local pageant run by her ex-beauty queen mom.","Female","White",25104,6.6,63,1,0,1
